weapontype,weaponname,rarity
bow,polarstar,1
bow,thunderingpulse,1
bow,elegyfortheend,1
bow,skywardharp,1
bow,amosbow,1
bow,hunterspath,1
bow,aquasimulacra,1
bow,alleyhunter,0
bow,theviridescenthunt,0
bow,thestringless,0
bow,sacrificialbow,0
bow,rust,0
bow,royalbow,0
bow,prototypecrescent,0
bow,predator,0
bow,mouunsmoon,0
bow,mitternachtswaltz,0
bow,hamayumi,0
bow,favoniuswarbow,0
bow,compoundbow,0
bow,blackcliffwarbow,0
bow,windblumeode,0
bow,endoftheline,0
bow,fadingtwilight,0
bow,kingssquire,0
bow,ravenbow,0
bow,recurvebow,0
bow,messenger,0
bow,sharpshootersoath,0
bow,slingshot,0
bow,seasonedhuntersbow,0
bow,huntersbow,0
