weapontype,weaponname,rarity
catalyst,memoryofdust,1
catalyst,everlastingmoonglow,1
catalyst,skywardatlas,1
catalyst,kagurasverity,1
catalyst,lostprayertothesacredwinds,1
catalyst,athousandfloatingdreams,1
catalyst,blackcliffagate,0
catalyst,thewidsith,0
catalyst,solarpearl,0
catalyst,sacrificialfragments,0
catalyst,royalgrimoire,0
catalyst,prototypeamber,0
catalyst,oathsworneye,0
catalyst,wineandsong,0
catalyst,mappamare,0
catalyst,hakushinring,0
catalyst,frostbearer,0
catalyst,favoniuscodex,0
catalyst,eyeofperception,0
catalyst,dodocotales,0
catalyst,fruitoffulfillment,0
catalyst,wanderingevenstar,0
catalyst,magicguide,0
catalyst,otherworldlystory,0
catalyst,emeraldorb,0
catalyst,thrillingtalesofdragonslayers,0
catalyst,TwinNephrite,0
catalyst,PocketGrimoire,0
catalyst,ApprenticesNotes,0
