weapontype,weaponname,rarity
claymore,wolfsgravestone,1
claymore,redhornstonethresher,1
claymore,theunforged,1
claymore,songofbrokenpines,1
claymore,skywardpride,1
claymore,whiteblind,0
claymore,beaconofthereedsea,1
claymore,thebell,0
claymore,snowtombedstarsilver,0
claymore,serpentspine,0
claymore,sacrificialgreatsword,0
claymore,blackcliffslasher,0
claymore,akuoumaru,0
claymore,rainslasher,0
claymore,prototypearchaic,0
claymore,luxurioussea-lord,0
claymore,lithicblade,0
claymore,katsuragikirinagamasa,0
claymore,favoniusgreatsword,0
claymore,royalgreatsword,0
claymore,forestregalia,0
claymore,makhairaaquamarine,0
claymore,skyridergreatsword,0
claymore,ferrousshadow,0
claymore,debateclub,0
claymore,whiteirongreatsword,0
claymore,bloodtaintedgreatsword,0
claymore,oldmercspal,0
claymore,wastergreatsword,0
