weapontype,weaponname,rarity
polearm,engulfinglightning,1
polearm,skywardspine,1
polearm,primordialjadewinged-spear,1
polearm,calamityqueller,1
polearm,staffofhoma,1
polearm,vortexvanquisher,1
polearm,staffofthescarletsands,1
polearm,prototypestarglitter,0
polearm,lithicspear,0
polearm,kitaincrossspear,0
polearm,thecatch,0
polearm,favoniuslance,0
polearm,dragonspinespear,0
polearm,dragonsbane,0
polearm,deathmatch,0
polearm,crescentpike,0
polearm,blackcliffpole,0
polearm,wavebreakersfin,0
polearm,royalspear,0
polearm,moonpiercer,0
polearm,missivewindspear,0
polearm,halberd,0
polearm,blacktassel,0
polearm,whitetassel,0
polearm,ironpoint,0
polearm,beginnersprotector,0
