weapontype,weaponname,rarity
sword,mistsplitterreforged,1
sword,aquilafavonia,1
sword,summitshaper,1
sword,skywardblade,1
sword,freedomsworn,1
sword,primordialjadecutter,1
sword,harangeppakufutsu,1
sword,keyofkhajnisut,1
sword,lightoffoliarincision,1
sword,theflute,0
sword,theblacksword,0
sword,thealleyflash,0
sword,swordofdescension,0
sword,sacrificialsword,0
sword,royallongsword,0
sword,prototyperancour,0
sword,amenomakageuchi,0
sword,lionsroar,0
sword,ironsting,0
sword,festeringdesire,0
sword,favoniussword,0
sword,cinnabarspindle,0
sword,blackclifflongsword,0
sword,sapwoodblade,0
sword,xiphosmoonlight,0
sword,harbingerofdawn,0
sword,filletblade,0
sword,skyridersword,0
sword,darkironsword,0
sword,coolsteel,0
sword,travelershandysword,0
sword,silversword,0
sword,dullblade,0
