"武器名","精錬R","DPS"
"mistsplitterreforged","xingqiu","15933.62"
"aquilafavonia","xingqiu","13326.37"
"summitshaper","xingqiu","14153.66"
"skywardblade","xingqiu","14594.73"
"freedomsworn","xingqiu","13650.42"
"primordialjadecutter","xingqiu","15779.51"
"harangeppakufutsu","xingqiu","14876.67"
"keyofkhajnisut","xingqiu","11870.05"
"lightoffoliarincision","xingqiu","15026.06"
"theflute","xingqiu","12187.73"
"theblacksword","xingqiu","12529.58"
"thealleyflash","xingqiu","12665.13"
"swordofdescension","xingqiu","11239.93"
"sacrificialsword","xingqiu","12320.24"
"royallongsword","xingqiu","12498.31"
"prototyperancour","xingqiu","11479.96"
"amenomakageuchi","xingqiu","12311.31"
"lionsroar","xingqiu","13069.27"
"ironsting","xingqiu","11982.36"
"festeringdesire","xingqiu","12730.33"
"favoniussword","xingqiu","12325.46"
"cinnabarspindle","xingqiu","10198.98"
"blackclifflongsword","xingqiu","12596.81"
"sapwoodblade","xingqiu","12645.36"
"xiphosmoonlight","xingqiu","11860.48"
"harbingerofdawn","xingqiu","11972"
"filletblade","xingqiu","10806.09"
"skyridersword","xingqiu","11290.73"
"darkironsword","xingqiu","10701.22"
"coolsteel","xingqiu","11134.67"
"travelershandysword","xingqiu","10322.03"
"silversword","xingqiu","8469.42"
"dullblade","xingqiu","7755.07"
