"武器名","精錬R","DPS"
"霧切の廻光","1","14574"
"風鷹剣","1","12293.13"
"斬山の刃","1","12991.8"
"天空の刃","1","13578.39"
"蒼古なる自由への誓い","1","12726.56"
"磐岩結緑","1","14451.01"
"波乱月白経津","1","13881.45"
"聖顕の鍵","1","10781.02"
"萃光の裁葉","1","13514.72"
"笛の剣","1","11203"
"黒剣","1","11601.38"
"ダークアレイの閃光","1","11847.07"
"降臨の剣","1","10440.67"
"祭礼の剣","1","11436.15"
"旧貴族長剣","1","11464.29"
"斬岩・試作","1","10586.88"
"天目影打","1","11300.78"
"匣中龍吟","1","12195.93"
"鉄蜂の刺し","1","11124.76"
"腐植の剣","1","11778.26"
"西風剣","1","11808.53"
"シナバースピンドル","1","9445.97"
"黒岩の長剣","1","11666.8"
"原木刀","1","11335.93"
"サイフォスの月明かり","1","10988.29"
"黎明の神剣","1","11104.48"
"チ虎魚の刀","1","9975.31"
"飛天御剣","1","10143.86"
"暗鉄剣","1","9921.07"
"冷刃","1","10324.51"
"旅道の剣","1","9310.25"
"銀の剣","1","7812.62"
"無鋒の剣","1","7208.21"
"霧切の廻光","1","14743.36"
"風鷹剣","1","12603.81"
"斬山の刃","1","13276.76"
"天空の刃","1","13357.87"
"蒼古なる自由への誓い","1","12868.05"
"磐岩結緑","1","14767.96"
"波乱月白経津","1","14002.67"
"聖顕の鍵","1","11118.97"
"萃光の裁葉","1","13865.8"
"笛の剣","1","11713.47"
"黒剣","1","11898.13"
"ダークアレイの閃光","1","12204.06"
"降臨の剣","1","10724.27"
"祭礼の剣","1","11851.26"
"旧貴族長剣","1","11905.55"
"斬岩・試作","1","11068.53"
"天目影打","1","11793.69"
"匣中龍吟","1","12489.46"
"鉄蜂の刺し","1","11434.72"
"腐植の剣","1","12166.75"
"西風剣","1","12216.64"
"シナバースピンドル","1","9955.16"
"黒岩の長剣","1","11945.25"
"原木刀","1","11722.48"
"サイフォスの月明かり","1","11405.92"
"黎明の神剣","1","11493.26"
"チ虎魚の刀","1","10486.16"
"飛天御剣","1","10681.8"
"暗鉄剣","1","10300.93"
"冷刃","1","10792.82"
"旅道の剣","1","9866.09"
"銀の剣","1","8370.6"
"無鋒の剣","1","7889.15"
