JPname,name
アイノ,aino
アーロイ,aloy
荒瀧一斗,itto
アルハイゼン,alhaitham
アルベド,albedo
アルレッキーノ,arlecchino
アンバー,amber
イアンサ,iansan
夜蘭,yelan
イネファ,ineffa
イファ,ifa
ヴァレサ,varesa
ウェンティ,venti
雲菫,yunjin
エウルア,eula
エスコフィエ,escoffier
エミリエ,emilie
煙緋,yanfei
オロルン,ororon
カーヴェ,kaveh
ガイア,kaeya
楓原万葉,kazuha
カチーナ,kachina
神里綾華,ayaka
神里綾人,ayato	
嘉明,gaming
甘雨,ganyu
閑雲,xianyun
キィニチ,kinich
キャンディス,candace
凝光,ningguang
綺良々,kirara
久岐忍,kuki
九条裟羅,sara
クレー,klee
クロリンデ,clorinde
刻晴,keqing
コレイ,collei
ゴロー,gorou
早柚,sayu
珊瑚宮心海,kokomi
鹿野院平蔵,heizou
シグウィン,sigewinne
シトラリ,citlali
シャルロット,charlotte
香菱,xiangling
シュヴルーズ,chevreuse
魈,xiao
鍾離,zhongli
シロネン,xilonen
ジン,jean
辛炎,xinyan
申鶴,shenhe
スカーク,skirk
スクロース,sucrose
セトス,sethos
セノ,cyno
ダリア,dahlia
タルタリヤ,tartaglia
千織,chiori
チャスカ,chasca
重雲,chongyun
ディオナ,diona
ディシア,dehya
デューリン,durin
ティナリ,tighnari
ディルック,diluc
トーマ,thoma
ドリー,dori
七七,qiqi
ナヴィア,navia
ナヒーダ,nahida
ニィロウ,nilou
ヌヴィレット,neuvillette
ノエル,noelle
ネフェル,nefer
バーバラ,barbara
白朮,baizhu
ファルザン,faruzan
フィッシュル,fischl
胡桃,hutao
フリーナ,furina
フリンズ,flins
フレミネ,freminet
ベネット,bennett
放浪者,wanderer
北斗,beidou
マーヴィカ,mavuika
ミカ,mika
ムアラニ,mualani
モナ,mona
八重神子,yaemiko
行秋,xingqiu
夢見月瑞希,yumemizukimizuki
宵宮,yoimiya
ヨォーヨ,yaoyao
雷電将軍,raiden
ラウマ,lauma
藍硯,lanyan
リオセスリ,wriothesley
リサ,lisa
リネ,lyney
リネット,lynette
レイラ,layla
レザー,razor
ロサリア,rosaria
蛍(風),lumineanemo
蛍(岩),luminegeo
蛍(雷),lumineelectro
蛍(草),luminedendro
蛍(水),luminehydro
蛍(炎),luminepyro
蛍(氷),luminecryo
空(風),lumineanemo
空(岩),aethergeo
空(雷),aetherelectro
空(草),aetherdendro
空(水),aetherhydro
空(炎),aetherpyro
空(氷),aethercryo
