weapontype,weaponname,rarity
冬極の白星,polarstar,1
飛雷の鳴弦,thunderingpulse,1
終焉を嘆く詩,elegyfortheend,1
天空の翼,skywardharp,1
アモスの弓,amosbow,1
狩人の道,hunterspath,1
若水,aquasimulacra,1
始まりの大魔術,thefirstgreatmagic,1
白雨心弦,heartstrings,1
ダークアレイの狩人,alleyhunter,0
蒼翠の狩猟弓,theviridescenthunt,0
絶弦,thestringless,0
祭礼の弓,sacrificialbow,0
弓蔵,rust,0
旧貴族長弓,royalbow,0
澹月・試作,prototypecrescent,0
プレデター,predator,0
曚雲の月,mouunsmoon,0
幽夜のワルツ,mitternachtswaltz,0
破魔の弓,hamayumi,0
西風猟弓,favoniuswarbow,0
リングボウ,compoundbow,0
黒岩の戦弓,blackcliffwarbow,0
風花の頌歌,windblumeode,0
竭沢,endoftheline,0
落霞,fadingtwilight,0
王の近侍,kingssquire,0
トキの嘴,ibispiercer,0
烈日の後嗣,scionoftheblazingsun,0
静寂の唄,songofstillness,0
築雲,cloudforged,0
チェーンブレイカー,chainbreaker,0
鴉羽の弓,ravenbow,0
リカーブボウ,recurvebow,0
文使い,messenger,0
シャープシューターの誓い,sharpshootersoath,0
弾弓,slingshot,0
