weapontype,weaponname,rarity
浮世の錠,memoryofdust,1
不滅の月華,everlastingmoonglow,1
天空の巻,skywardatlas,1
神楽の真意,kagurasverity,1
四風原典,lostprayertothesacredwinds,1
千夜に浮かぶ夢,athousandfloatingdreams,1
トゥライトゥーラの記憶,tulaytullahsremembrance,1
久遠流転の大典,eternalflow,1
碧落の瓏,jadefallssplendor,1
凛流の監視者,cashflowsupervision,1
鶴鳴の余韻,cranesechoingcall,1
サーフィンタイム,surfsup,1
黒岩の緋玉,blackcliffagate,0
流浪楽章,thewidsith,0
匣中日月,solarpearl,0
祭礼の断片,sacrificialfragments,0
旧貴族秘法録,royalgrimoire,0
金珀・試作,prototypeamber,0
誓いの明瞳,oathsworneye,0
ダークアレイの酒と詩,wineandsong,0
万国諸海の図譜,mappamare,0
白辰の輪,hakushinring,0
冬忍びの実,frostbearer,0
西風秘典,favoniuscodex,0
昭心,eyeofperception,0
ドドコの物語,dodocotales,0
満悦の実,fruitoffulfillment,0
彷徨える星,wanderingevenstar,0
古祠の瓏,sacrificialjade,0
純水流華,flowingpurity,0
ヤシュチェの環,ringofyaxche,0
蒼紋の角杯,ashgravendrinkinghorn,0
魔導緒論,magicguide,0
異世界旅行記,otherworldlystory,0
翡玉法珠,emeraldorb,0
龍殺しの英傑譚,thrillingtalesofdragonslayers,0
特級の宝玉,twinnephrite,0
