weapontype,weaponname,rarity
狼の末路,wolfsgravestone,1
赤角石塵滅砕,redhornstonethresher,1
無工の剣,theunforged,1
松韻の響く頃,songofbrokenpines,1
天空の傲,skywardpride,1
葦海の標,beaconofthereedsea,1
裁断,verdict,1
白影の剣,whiteblind,0
鐘の剣,thebell,0
雪葬の星銀,snowtombedstarsilver,0
螭龍の剣,serpentspine,0
祭礼の大剣,sacrificialgreatsword,0
黒岩の斬刀,blackcliffslasher,0
惡王丸,akuoumaru,0
雨裁,rainslasher,0
古華・試作,prototypearchaic,0
銜玉の海皇,luxurioussealord,0
千岩古剣,lithicblade,0
桂木斬長正,katsuragikirinagamasa,0
西風大剣,favoniusgreatsword,0
旧貴族大剣,royalgreatsword,0
深林のレガリア,forestregalia,0
マカイラの水色,makhairaaquamarine,0
鉄彩の花,mailedflower,0
話死合い棒,talkingstick,0
タイダル・シャドー,tidalshadow,0
携帯型チェーンソー,portablepowersaw,0
「スーパーアルティメット覇王魔剣」,ultimateoverlordsmegamagicsword,0
アースシェイカー,earthshaker,0
飛天大御剣,skyridergreatsword,0
鉄影段平,ferrousshadow,0
理屈責め,debateclub,0
白鉄の大剣,whiteirongreatsword,0
龍血を浴びた剣,bloodtaintedgreatsword,0
