weapontype,weaponname,rarity
霧切の廻光,mistsplitterreforged,1
風鷹剣,aquilafavonia,1
斬山の刃,summitshaper,1
天空の刃,skywardblade,1
蒼古なる自由への誓い,freedomsworn,1
磐岩結緑,primordialjadecutter,1
波乱月白経津,harangeppakufutsu,1
聖顕の鍵,keyofkhajnisut,1
萃光の裁葉,lightoffoliarincision,1
静水流転の輝き,splendoroftranquilwaters,1
有楽御簾切,uraku,1
赦罪,absolution,1
笛の剣,theflute,0
黒剣,theblacksword,0
ダークアレイの閃光,thealleyflash,0
降臨の剣,swordofdescension,0
祭礼の剣,sacrificialsword,0
旧貴族長剣,royallongsword,0
斬岩・試作,prototyperancour,0
天目影打,amenomakageuchi,0
匣中龍吟,lionsroar,0
鉄蜂の刺し,ironsting,0
腐植の剣,festeringdesire,0
西風剣,favoniussword,0
シナバースピンドル,cinnabarspindle,0
黒岩の長剣,blackclifflongsword,0
原木刀,sapwoodblade,0
サイフォスの月明かり,xiphosmoonlight,0
籠釣瓶一心,kagotsurubeisshin,1
東花坊時雨,toukaboushigure,0
サーンドルの渡し守,fleuvecendreferryman,0
狼牙,wolffang,0
海淵のフィナーレ,finaleofthedeep,0
船渠剣,dockhand,0
エズピツァルの笛,fluteofezpitzal,0
黎明の神剣,harbingerofdawn,0
チ虎魚の刀,filletblade,0
飛天御剣,skyridersword,0
暗鉄剣,darkironsword,1
冷刃,coolsteel,0
旅道の剣,travelershandysword,0
